Current Configuration: {'resume': '', 'sched_type': None, 'batch_size': 512, 'base_lr': 0.05, 'wd': 0.0001, 'epochs': 600, 'init_lr': 0.1}
Epoch: 147, Loss: -0.8533724535186337, Cur LR: 0.1
Epoch: 148, Loss: -0.8711108734022893, Cur LR: 0.1
Epoch: 149, Loss: -0.8691755705659496, Cur LR: 0.1
Epoch: 150, Loss: -0.8580315607898635, Cur LR: 0.1
Epoch: 151, Loss: -0.8604702675867384, Cur LR: 0.1
Epoch: 152, Loss: -0.8601439100391456, Cur LR: 0.1
Epoch: 153, Loss: -0.8583688960885105, Cur LR: 0.1
Epoch: 154, Loss: -0.857779216841332, Cur LR: 0.1
Epoch: 155, Loss: -0.8603561940433095, Cur LR: 0.1
Epoch: 156, Loss: -0.8577512199023989, Cur LR: 0.1
Epoch: 157, Loss: -0.8696644965957544, Cur LR: 0.1
Epoch: 158, Loss: -0.8523280714292945, Cur LR: 0.1
Epoch: 159, Loss: -0.8462013797190203, Cur LR: 0.1
Epoch: 160, Loss: -0.8470646881457399, Cur LR: 0.1
Epoch: 161, Loss: -0.8489678277159634, Cur LR: 0.1
Epoch: 162, Loss: -0.849478477576994, Cur LR: 0.1
Epoch: 163, Loss: -0.8645159208549644, Cur LR: 0.1
Epoch: 164, Loss: -0.8639890547818363, Cur LR: 0.1
Epoch: 165, Loss: -0.8760733180825818, Cur LR: 0.1
Epoch: 166, Loss: -0.8914969533494432, Cur LR: 0.1
Epoch: 167, Loss: -0.8520939522569287, Cur LR: 0.1
Epoch: 168, Loss: -0.8786952154441448, Cur LR: 0.1
Epoch: 169, Loss: -0.8819232894189705, Cur LR: 0.1
Epoch: 170, Loss: -0.8835987849805342, Cur LR: 0.1
Epoch: 171, Loss: -0.880869554648609, Cur LR: 0.1
Epoch: 172, Loss: -0.8798349132327912, Cur LR: 0.1
Epoch: 173, Loss: -0.8790188971555457, Cur LR: 0.1
Epoch: 174, Loss: -0.8816922501947894, Cur LR: 0.1
Epoch: 175, Loss: -0.878634968268796, Cur LR: 0.1
Epoch: 176, Loss: -0.8739727649298855, Cur LR: 0.1
Epoch: 177, Loss: -0.8727253986604557, Cur LR: 0.1
Epoch: 178, Loss: -0.8693715307697563, Cur LR: 0.1
Epoch: 179, Loss: -0.8701626384783092, Cur LR: 0.1
Epoch: 180, Loss: -0.87034110303195, Cur LR: 0.1
Epoch: 181, Loss: -0.8713477789980809, Cur LR: 0.1
Epoch: 182, Loss: -0.8480873700207884, Cur LR: 0.1
Epoch: 183, Loss: -0.820261373459918, Cur LR: 0.1
Epoch: 184, Loss: -0.8402797845924428, Cur LR: 0.1
Epoch: 185, Loss: -0.8444979367016247, Cur LR: 0.1
Epoch: 186, Loss: -0.8509580005639759, Cur LR: 0.1
Epoch: 187, Loss: -0.8557396392402409, Cur LR: 0.1
Epoch: 188, Loss: -0.8542477376056168, Cur LR: 0.1
Epoch: 189, Loss: -0.8534264193390901, Cur LR: 0.1
Epoch: 190, Loss: -0.8567140218596789, Cur LR: 0.1
Epoch: 191, Loss: -0.8592813254902198, Cur LR: 0.1
